Species;ID;Locality;Brazilian State;Latitude;Longitude;Altitude
G. amarali;15568;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;37161;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15533***;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15566;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15569;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15484;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;69384;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15534;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;ESTR00197;Carolina;MA;-7.37;-47.43;176
G. amarali;52006;Carolina;MA;-7.37;-47.43;176
G. amarali;ESTR00196;Carolina;MA;-7.37;-47.43;176
G. amarali;ESTR1038;Carolina;MA;-7.37;-47.43;176
G. amarali;52007;Carolina;MA;-7.37;-47.43;176
G. amarali;ESTR1293;Estreito;MA;-6.56;-47.45;163
G. amarali;ESTR0642;Estreito;MA;-6.56;-47.45;163
G. amarali;LG0889;Barra do Garca;MT;-15.88;-52.25;294
G. amarali;55883;Barra do Garca;MT;-15.2;-52.5;619
G. amarali;55882;Barra do Garca;MT;-15.2;-52.5;619
G. amarali;55881;Barra do Garca;MT;-15.2;-52.5;619
G. amarali;CHUNB63196;Barra do Garcas;MT;-15.2;-52.5;619
G. amarali;CHUNB63198;Barra do Garcas;MT;-15.2;-52.5;619
G. amarali;CHUNB63197;Barra do Garcas;MT;-15.2;-52.5;619
G. amarali;55884;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;63195;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55885;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55886;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;63204;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55880***;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55887;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55888;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55890;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;55889;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;GRC21228;Nova Xavantina;MT;-14.69;-52.34;283
G. amarali;MTR14517;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14808;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14609;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14237;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14552;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14578;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;MTR14510;Almas (EESGT);TO;-11.24;-46.81;522
G. amarali;45278;Caseara;TO;-9.37;-49.84;185
G. amarali;45318;Caseara;TO;-9.37;-49.84;185
G. amarali;45324;Caseara;TO;-9.37;-49.84;185
G. amarali;45336;Caseara;TO;-9.37;-49.84;185
G. amarali;45321;Caseara;TO;-9.37;-49.84;185
G. amarali;45283;Caseara;TO;-9.37;-49.84;185
G. amarali;62616;Combinado;TO;-12.81;-46.48;404
G. amarali;CHUNB62569;Figueiropolis;TO;-12.18;-48.96;288
G. amarali;ESTR1759;Goiatins;TO;-7.69;-47.35;187
G. amarali;ESTR1808;Goiatins;TO;-7.69;-47.35;187
G. amarali;MRT7479;Guarai;TO;-8.83;-48.52;265
G. amarali;MRT7542***;Guarai;TO;-8.83;-48.52;265
G. amarali;MRT7598;Guarai;TO;-8.83;-48.52;265
G. amarali;MRT7552;Guarai;TO;-8.83;-48.52;265
G. amarali;MRT8991;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;MRT6918;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;MRT14241;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;MRT6889;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;LAJ215;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;MRT9034;Lajeado (UHE);TO;-9.85;-48.32;487
G. amarali;8674;Mateiros;TO;-10.7;-46.41;632
G. amarali;8743;Mateiros;TO;-10.7;-46.41;632
G. amarali;8675;Mateiros;TO;-10.7;-46.41;632
G. amarali;8841;Mateiros;TO;-10.7;-46.41;632
G. amarali;8928;Mateiros;TO;-10.7;-46.41;632
G. amarali;28222;Mateiros;TO;-10.7;-46.41;632
G. amarali;8808;Mateiros;TO;-10.7;-46.41;632
G. amarali;8980;Mateiros;TO;-10.7;-46.41;632
G. amarali;28224;Mateiros;TO;-10.7;-46.41;632
G. amarali;28219;Mateiros;TO;-10.7;-46.41;632
G. amarali;28220;Mateiros;TO;-10.7;-46.41;632
G. amarali;GRC24256;Natividade;TO;-11.69;-47.7;719
G. amarali;10433;Palmas_East;TO;-10.42;-48.36;233
G. amarali;10440;Palmas_East;TO;-10.42;-48.36;233
G. amarali;10442;Palmas_East;TO;-10.42;-48.36;233
G. amarali;10488;Palmas_West;TO;-10.24;-48.44;226
G. amarali;10495;Palmas_West;TO;-10.24;-48.44;226
G. amarali;10527;Palmas_West;TO;-10.24;-48.44;226
G. amarali;10771;Palmas_West;TO;-10.24;-48.44;226
G. amarali;10773;Palmas_West;TO;-10.24;-48.44;226
G. amarali;10775;Palmas_West;TO;-10.24;-48.44;226
G. amarali;14555;Palmas_West;TO;-10.24;-48.44;226
G. amarali;15767;Parana;TO;-12.75;-47.76;284
G. amarali;15743;Parana;TO;-12.75;-47.76;284
G. amarali;33569;Parana;TO;-12.75;-47.76;284
G. amarali;15782;Parana;TO;-12.75;-47.76;284
G. amarali;15780;Parana;TO;-12.75;-47.76;284
G. amarali;37125;Parana;TO;-12.75;-47.76;284
G. amarali;15869;Parana;TO;-12.75;-47.76;284
G. amarali;15799;Parana;TO;-12.75;-47.76;284
G. amarali;37128;Parana;TO;-12.75;-47.76;284
G. amarali;15795;Parana;TO;-12.75;-47.76;284
G. amarali;15797;Parana;TO;-12.75;-47.76;284
G. amarali;15781;Parana;TO;-12.75;-47.76;284
G. amarali;37090;Parana;TO;-12.75;-47.76;284
G. amarali;GRC24311;Peixe;TO;-11.88;-48.77;293
G. amarali;MRT3949;Peixe;TO;-12.03;-48.35;326
G. amarali;52612;Peixe;TO;-12.03;-48.35;326
G. amarali;52609;Peixe;TO;-12.03;-48.35;326
G. amarali;MRT4459;Peixe;TO;-12.03;-48.35;326
G. amarali;62666;Peixe;TO;-12.03;-48.35;326
G. amarali;GRC24310;Peixe;TO;-12.03;-48.35;326
G. amarali;MRT6435;Sao Salvador;TO;-12.73;-48.23;306
G. amarali;MRT6428;Sao Salvador;TO;-12.73;-48.23;306
